Score,Episodes,Duration_format,Genre_format,Name_format,Source_format,cluster
7,1,25,3,301,1,0
7,6,25,0,302,0,0
7,1,62,0,303,0,0
8,26,24,0,304,1,0
7,3,28,0,305,1,0
6,4,28,0,306,1,0
7,24,13,0,307,26,0
7,13,22,1,308,1,0
7,26,23,2,309,1,0
7,41,24,0,310,1,0
8,13,24,2,311,1,0
8,52,23,6,312,1,0
7,6,30,1,313,0,0
7,26,23,3,314,1,0
7,4,30,2,315,26,0
8,112,24,0,316,1,0
7,1,97,2,317,0,0
7,12,23,0,318,1,0
7,13,23,1,319,1,0
8,13,25,1,320,2,0
8,10,25,1,321,2,0
8,2,37,1,322,2,0
7,1,2,1,323,2,0
8,24,25,0,324,1,0
8,2,42,3,325,1,0
7,12,14,0,326,1,0
7,6,26,0,327,1,0
7,1,48,7,328,0,0
8,45,25,0,329,1,0
7,1,25,1,330,26,0
7,26,24,1,331,0,0
7,12,24,0,332,1,0
2,1,19,4,333,2,0
7,1,104,0,334,1,0
8,1,93,0,335,1,0
6,26,24,1,336,26,0
7,26,24,0,337,1,0
7,1,90,4,338,1,0
7,13,23,0,339,0,0
7,2,30,0,340,0,0
7,6,26,0,341,0,0
7,24,25,0,342,2,0
6,2,26,0,343,1,0
6,4,30,0,344,26,0
8,51,23,0,345,0,0
8,1,24,0,346,0,0
8,1,50,0,347,0,0
8,1,105,0,348,1,0
9,1,119,2,349,2,0
7,6,27,1,350,0,0
6,1,42,1,351,0,0
7,20,24,0,352,1,0
8,1,80,3,353,2,0
7,3,30,1,354,2,0
6,2,45,2,355,1,0
8,39,23,0,356,0,0
8,1,90,2,357,0,0
7,1,82,0,358,1,0
7,1,21,0,359,0,0
7,13,20,1,360,1,0
7,25,23,1,361,0,0
8,1,99,0,362,1,0
8,1,98,0,363,1,0
6,1,26,0,364,0,0
7,26,25,0,365,0,0
9,26,25,2,366,1,0
6,3,27,0,367,1,0
7,1,55,0,368,1,0
7,1,55,0,369,1,0
8,1,95,0,370,1,0
8,1,91,0,371,1,0
7,1,94,0,372,1,0
8,26,25,1,373,1,0
8,1,99,4,374,1,0
7,24,23,0,375,1,0
7,13,25,3,376,2,0
7,12,23,1,377,0,0
8,4,39,4,378,0,0
7,12,24,3,379,2,0
8,13,24,2,380,1,0
7,26,24,1,381,0,0
8,51,23,0,382,1,0
7,224,23,5,383,1,0
7,180,23,0,384,1,0
7,24,23,1,385,0,0
7,26,5,0,386,1,0
8,13,24,1,387,2,0
7,13,23,0,388,1,0
8,12,24,0,389,1,0
7,12,26,0,390,0,0
7,26,24,0,391,1,0
7,1,90,1,392,0,0
7,1,92,1,393,0,0
7,26,25,0,394,1,0
7,1,132,2,395,2,0
