Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
8,13,R+ - Mild Nudity,25,2,1,48,21,176,0,1
8,6,PG-13 - Teens 13 or older,25,1,0,19,15,177,2,0
8,26,R - 17+ (violence & profanity),25,0,7,6,5,178,0,0
7,12,R - 17+ (violence & profanity),24,0,0,40,24,179,0,1
7,27,R - 17+ (violence & profanity),24,0,0,5,321,180,0,1
6,26,PG - Children,12,1,0,19,25,181,0,1
8,70,PG - Children,25,1,0,11,191,182,0,1
7,26,G - All Ages,24,3,5,2,200,183,0,1
8,50,PG-13 - Teens 13 or older,25,1,0,49,105,184,0,1
7,26,PG-13 - Teens 13 or older,23,1,0,20,3,185,0,1
8,50,PG-13 - Teens 13 or older,24,1,4,6,0,186,0,0
7,42,PG-13 - Teens 13 or older,23,1,1,3,3,187,0,1
8,24,R - 17+ (violence & profanity),24,0,4,29,4,188,0,2
8,12,PG-13 - Teens 13 or older,25,1,0,12,26,189,0,1
6,11,R+ - Mild Nudity,23,2,0,12,27,190,0,1
7,13,R - 17+ (violence & profanity),23,0,0,5,191,191,0,1
7,13,PG-13 - Teens 13 or older,22,1,0,6,5,192,0,1
9,43,R - 17+ (violence & profanity),25,0,0,6,3,193,0,1
7,51,PG-13 - Teens 13 or older,24,1,0,11,5,194,0,1
7,12,PG-13 - Teens 13 or older,23,1,0,24,191,195,0,1
8,167,PG-13 - Teens 13 or older,24,1,0,49,216,196,0,1
8,150,PG-13 - Teens 13 or older,23,1,0,3,321,197,0,1
8,78,PG-13 - Teens 13 or older,25,1,0,25,5,198,0,2
7,26,PG-13 - Teens 13 or older,24,1,3,1,151,199,0,0
8,26,PG-13 - Teens 13 or older,23,1,0,0,28,200,0,1
8,6,PG-13 - Teens 13 or older,26,1,0,0,28,201,2,1
8,7,PG-13 - Teens 13 or older,26,1,0,0,28,202,2,1
6,13,R+ - Mild Nudity,24,2,8,48,1,203,0,1
6,4,R - 17+ (violence & profanity),30,0,3,50,191,204,2,1
7,5,PG-13 - Teens 13 or older,30,1,0,51,29,205,2,1
7,13,PG-13 - Teens 13 or older,23,1,0,51,29,206,0,1
7,13,PG-13 - Teens 13 or older,24,1,0,4,29,207,0,1
