anime_id,name,genre,type,episodes,rating,mean_rating
12875,1859,8690,8780,39,7.41,5.817337461300309
24817,6267,8690,9885,3,6.13,3.6
1540,3290,8690,9813,1,7.02,4.906976744186046
19877,2592,8690,8780,21,7.21,2.4444444444444446
6231,1323,8690,9885,1,7.57,4.913165266106443
21185,558,8690,8780,25,7.96,6.567291311754685
10573,1020,8690,9885,4,7.71,4.746666666666667
4062,1904,8690,8780,72,7.4,5.181818181818182
2076,563,8690,8780,148,7.96,5.25
32869,1063,8690,9868,1,7.69,5.376470588235295
10507,2192,8690,8780,47,7.32,5.447761194029851
2709,4279,8690,8780,51,6.74,4.75
2916,3105,8690,8780,47,7.06,3.9
32324,4653,8690,9813,1,6.65,1.0
9177,7938,8690,9885,3,6.33,1.3333333333333333
10055,4785,8690,9868,1,6.61,3.0689655172413794
2703,3826,8690,8780,22,6.85,4.776470588235294
18063,5072,8690,9868,1,6.54,2.5
9282,6041,8690,9868,1,6.23,3.25
2706,3059,8690,8780,51,7.07,5.324324324324325
6031,3441,8690,9885,4,6.97,5.5
19271,4642,8690,9868,1,6.65,3.25
8304,4819,8690,9813,1,6.6,4.294117647058823
13261,1720,8690,8780,51,7.45,5.483333333333333
17725,3697,8690,9885,1,6.89,5.312087912087912
388,640,8690,8780,52,7.91,6.329842931937173
16005,1075,8690,8780,12,7.69,6.319255222524977
12445,586,8690,8780,12,7.95,6.572785829307568
183,1453,8690,8780,39,7.53,5.858895705521473
12899,8690,8690,9885,1,5.83,1.3333333333333333
29917,8708,8708,9868,1,4.41,4.0
29918,8053,8708,9868,1,3.88,3.5
18743,8371,8712,9885,1,5.05,1.3333333333333333
8216,5962,8712,8780,23,6.25,2.3333333333333335
3002,195,8712,8780,26,8.33,7.2101449275362315
28881,663,8712,9868,1,7.9,5.913793103448276
22135,46,8712,8780,11,8.67,7.6467040068935805
22831,6099,8712,8780,23,6.2,5.299212598425197
5040,144,8712,8780,25,8.41,7.169008875739645
10177,5875,8712,8780,12,6.28,4.368421052631579
364,1203,8712,8780,37,7.62,6.203592814371257
17705,4674,8712,8780,13,6.64,5.416666666666667
10967,7968,8712,9885,1,5.48,3.0
22507,223,8712,8780,4,8.29,6.394736842105263
658,497,8712,8780,26,8.02,6.8103666245259165
30952,851,8712,9868,1,7.79,5.041666666666667
13303,8712,8712,9885,1,5.64,2.0
10271,222,8712,8780,26,8.29,7.152331606217617
24901,7974,8726,8768,1,3.43,1.6666666666666667
28197,7477,8726,8768,1,5.19,0.6666666666666666
31873,8280,8726,8768,1,5.28,5.5
8773,7142,8726,8768,1,5.56,3.7142857142857144
9910,7146,8726,8768,1,5.56,2.625
32626,8276,8726,9868,1,4.95,3.0
29792,7959,8726,9868,1,4.78,4.666666666666667
8783,4215,8726,9868,1,6.76,4.2
24315,7125,8726,8768,1,5.58,1.0
29895,8383,8726,9868,1,4.04,3.3333333333333335
31639,8381,8726,9840,1,4.11,5.0
10349,5682,8726,8780,25,6.35,4.666666666666667
6797,7051,8726,9868,1,5.64,4.333333333333333
8478,7991,8726,8780,20,5.68,4.0
29833,8363,8726,9868,1,4.27,6.0
32422,7992,8726,8768,1,5.83,9.0
30018,8413,8726,9868,1,4.65,4.333333333333333
29793,7962,8726,9868,1,4.59,4.666666666666667
7416,6096,8726,9885,1,6.21,4.5
8646,7683,8726,8768,1,4.8,3.1481481481481484
9558,4634,8726,9868,1,6.65,5.285714285714286
6517,8001,8726,9868,1,6.56,0.5
6518,4893,8726,9868,1,6.58,4.071428571428571
15137,8004,8726,9868,1,4.6,2.6666666666666665
30019,8412,8726,9868,1,4.44,4.0
30164,7960,8726,8768,1,4.42,3.0
17601,8410,8726,8780,263,6.84,3.0
7803,7944,8726,9885,1,5.86,2.0
9850,7154,8726,9868,1,5.55,2.9
29451,8145,8726,8768,1,4.25,3.0
25545,7323,8726,8768,1,5.38,1.0
29587,8140,8726,9868,1,4.13,6.0
10509,8137,8726,9868,1,6.28,3.0
8772,7250,8726,8768,1,5.45,3.25
11537,5847,8726,9885,1,6.3,5.888888888888889
29455,7379,8726,8768,1,5.31,3.0
17479,7912,8726,9868,1,5.73,2.0
4586,2396,8726,8780,26,7.26,5.510204081632653
29181,8120,8726,8768,1,3.33,3.0
9900,4644,8726,8780,140,6.65,1.2
15547,3828,8726,8780,52,6.85,5.333333333333333
18825,8108,8726,9813,1,6.14,1.0
18829,8107,8726,9885,1,6.0,1.6666666666666667
18589,8104,8726,9885,1,6.61,3.75
9002,5896,8726,9813,1,6.28,4.48695652173913
17953,8101,8726,9885,1,6.3,1.6666666666666667
18823,8099,8726,9885,1,5.59,2.0
18031,8098,8726,9885,1,6.43,1.6666666666666667
18587,8095,8726,9885,1,6.04,3.375
21031,1648,8726,9868,1,7.47,4.372549019607843
9807,8085,8726,8780,140,6.06,2.0
28355,7297,8726,8768,1,5.4,4.0
30160,7319,8726,8768,1,5.38,5.0
10246,8075,8726,9813,1,6.3,2.5
29355,8058,8726,8768,1,4.18,4.0
30106,8057,8726,9840,1,3.75,3.0
33342,7899,8726,9868,1,3.0,4.0
21765,7898,8726,9868,1,4.74,1.0
