Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.36,"Adventure, Comedy, Kids, Drama, Fantasy",TV,52,G - All Ages,TV Tokyo,Telescreen,Manga,23 min. per ep.,23,G,Comedy,TV Tokyo,Telescreen
Dondon Dommel to Ron,6.65,"Comedy, Kids",TV,52,G - All Ages,TV Tokyo,Telescreen,Original,25 min. per ep.,25,G,Comedy,TV Tokyo,Telescreen
Geragera Boes Monogatari,7.03,"Comedy, Kids",TV,52,G - All Ages,"TV Tokyo, Saban Entertainment",Telescreen,Manga,24 min. per ep.,24,G,Comedy,TV Tokyo,Telescreen
Toushou Daimos,7.2,"Adventure, Drama, Mecha, Romance, Sci-Fi, Shounen",TV,44,PG - Children,Studio Nue,"Sunrise, Toei Animation",Manga,24 min. per ep.,24,PG-13,Sci-Fi,Studio Nue,Sunrise
Madou King Granzort,7.02,"Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen",TV,41,G - All Ages,Atelier Musa,Sunrise,Original,24 min. per ep.,24,G,Comedy,Atelier Musa,Sunrise
Dragon Quest: Abel Yuusha Densetsu,6.9,"Action, Adventure, Fantasy, Shounen",TV,43,G - All Ages,Nihon Ad Systems,Studio Comet,Game,24 min. per ep.,24,G,Action,Nihon Ad Systems,Studio Comet
Barbapapa,6.16,"Fantasy, Comedy",TV,45,PG - Children,KSS,Topcraft,Picture book,5 min. per ep.,5,PG-13,Comedy,KSS,Topcraft
Barbapapa Sekai wo Mawaru,6.01,"Adventure, Comedy",TV,50,G - All Ages,Kodansha,Studio Pierrot,Picture book,5 min. per ep.,5,G,Comedy,Kodansha,Studio Pierrot
Arabian Nights: Sindbad no Bouken (TV),7.2,"Adventure, Fantasy, Magic, Romance",TV,52,G - All Ages,Studio Jack,Nippon Animation,Book,25 min. per ep.,25,G,Fantasy,Studio Jack,Nippon Animation
Oz no Mahoutsukai (1986),6.73,"Adventure, Kids, Fantasy",TV,52,G - All Ages,TV Tokyo,"Panmedia, Meruhensha",Book,25 min. per ep.,25,G,Fantasy,TV Tokyo,Panmedia
Ie Naki Ko Remy,7.93,"Adventure, Slice of Life, Historical, Drama",TV,23,G - All Ages,Fuji TV,Nippon Animation,Novel,23 min. per ep.,23,G,Drama,Fuji TV,Nippon Animation
Miracle☆Girls,7.12,"Drama, Magic, Shoujo",TV,51,G - All Ages,Asatsu DK,Japan Taps,Manga,24 min. per ep.,24,G,Drama,Asatsu DK,Japan Taps
Chiisana Viking Vickie,6.58,"Adventure, Comedy, Historical, Kids",TV,78,G - All Ages,Mushi Production,Nippon Animation,Manga,24 min. per ep.,24,G,Comedy,Mushi Production,Nippon Animation
Ariel Deluxe,5.6,"Action, Comedy, Mecha, Sci-Fi",OVA,2,PG-13 - Teens 13 or older,animate Film,J.C.Staff,Novel,42 min. per ep.,42,PG-13,Comedy,animate Film,J.C.Staff
Ariel Visual,5.45,"Action, Comedy, Mecha, Sci-Fi",OVA,2,PG-13 - Teens 13 or older,animate Film,J.C.Staff,Novel,28 min. per ep.,28,PG-13,Comedy,animate Film,J.C.Staff
Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,6.5,"Adventure, Fantasy",Special,1,PG - Children,Nintendo of America,OLM,Game,20 min.,20,PG-13,Fantasy,Nintendo of America,OLM
Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,7.26,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,PG - Children,Studio Jack,OLM,Game,1 hr. 30 min.,90,PG-13,Comedy,Studio Jack,OLM
Kappa no Coo to Natsuyasumi,7.53,"Adventure, Demons, Shounen",Movie,1,PG - Children,"Dentsu, TV Asahi, Shochiku, Sony Music Entertainment, Dentsu Tec, Imagine",Shin-Ei Animation,Original,2 hr. 21 min.,141,PG-13,Adventure,Dentsu,Shin-Ei Animation
Accelerando: Datenshi-tachi no Sasayaki,6.86,Hentai,OVA,4,Rx - Hentai,Pink Pineapple,Flavors Soft,Manga,28 min. per ep.,28,R+,Hentai,Pink Pineapple,Flavors Soft
Tokineiro,5.12,Hentai,OVA,2,Rx - Hentai,Discovery,AT-2,Novel,30 min. per ep.,30,R+,Hentai,Discovery,AT-2
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,6.98,Hentai,OVA,2,Rx - Hentai,Pink Pineapple,T-Rex,Novel,30 min. per ep.,30,R+,Hentai,Pink Pineapple,T-Rex
Kazama Mana,6.17,Hentai,OVA,1,Rx - Hentai,Kitty Media,Flavors Soft,Novel,30 min.,30,R+,Hentai,Kitty Media,Flavors Soft
Nanase Ren,6.15,Hentai,OVA,1,Rx - Hentai,Animax,Flavors Soft,Novel,35 min.,35,R+,Hentai,Animax,Flavors Soft
Bible Black Only Version,6.8,Hentai,OVA,2,Rx - Hentai,"Milky Animation Label, Kitty Films, Active",Studio Jam,Novel,30 min. per ep.,30,R+,Hentai,Milky Animation Label,Studio Jam
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.45,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Movie,1,PG-13 - Teens 13 or older,Shueisha,Studio Pierrot,Manga,1 hr. 32 min.,92,PG-13,Comedy,Shueisha,Studio Pierrot
Gake no Ue no Ponyo,7.89,"Adventure, Fantasy",Movie,1,G - All Ages,"Dentsu, d-rights, Toho",Studio Ghibli,Original,1 hr. 41 min.,101,G,Fantasy,Dentsu,Studio Ghibli
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7.19,Mystery,Special,1,PG-13 - Teens 13 or older,"Geneon Universal Entertainment, Frontier Works, Sotsu",Studio Deen,Novel,23 min.,23,PG-13,Mystery,Sotsu,Studio Deen
Sakigake!! Otokojuku,7.38,"Action, Comedy, Martial Arts, School, Shounen",TV,34,R - 17+ (violence & profanity),Lantis,Toei Animation,Manga,24 min. per ep.,24,R,Comedy,Lantis,Toei Animation
Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,R - 17+ (violence & profanity),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,Original,24 min. per ep.,24,R,Action,Bandai Visual,Sunrise
Cyborg Kuro-chan,7.1,"Comedy, Sci-Fi",TV,66,PG - Children,"Public & Basic, Imagine",Studio Bogey,Manga,25 min. per ep.,25,PG-13,Comedy,Imagine,Studio Bogey
Ohayou! Spank,6.6,"Slice of Life, Comedy",TV,63,G - All Ages,Asahi Broadcasting,TMS Entertainment,Manga,25 min. per ep.,25,G,Comedy,Asahi Broadcasting,TMS Entertainment
Daisougen no Chiisana Tenshi: Bush Baby,7.01,"Adventure, Drama",TV,40,G - All Ages,Fuji TV,Nippon Animation,Novel,24 min. per ep.,24,G,Drama,Fuji TV,Nippon Animation
Chikyuu ga Ugoita Hi,6.42,"Drama, Historical",Movie,1,PG - Children,"Magic Capsule, Kyodo Eiga, Orix, GoGo Visual Planning, Company AZA",Tama Production,Novel,1 hr. 15 min.,75,PG-13,Drama,Magic Capsule,Tama Production
Genki Bakuhatsu Ganbaruger,6.75,"Mecha, Shounen",TV,47,PG - Children,"TV Tokyo, Yomiuri Advertising",Sunrise,Original,24 min. per ep.,24,PG-13,Shounen,TV Tokyo,Sunrise
Seijun Kango Gakuin,6.23,"Comedy, Hentai",OVA,3,Rx - Hentai,Discovery,AT-2,Novel,30 min. per ep.,30,R+,Comedy,Discovery,AT-2
Ashita no Joe 2,8.67,"Action, Drama, Shounen, Slice of Life, Sports",TV,47,PG-13 - Teens 13 or older,Annapuru,Tokyo Movie Shinsha,Manga,24 min. per ep.,24,PG-13,Action,Annapuru,Tokyo Movie Shinsha
Shugo Chara!,7.43,"Comedy, Magic, School, Shoujo",TV,51,PG - Children,"TV Tokyo, Sotsu, Pony Canyon",Satelight,Manga,24 min. per ep.,24,PG-13,Comedy,TV Tokyo,Satelight
ef: A Tale of Memories.,7.95,"Mystery, Drama, Romance",TV,12,PG-13 - Teens 13 or older,Rondo Robe,Shaft,Novel,24 min. per ep.,24,PG-13,Drama,Rondo Robe,Shaft
Myself; Yourself,7.21,"Drama, Romance, School",TV,13,PG-13 - Teens 13 or older,"Marvelous, Pony Canyon, Happinet Pictures, 5pb.",Doga Kobo,Novel,25 min. per ep.,25,PG-13,Drama,Pony Canyon,Doga Kobo
KimiKiss Pure Rouge,7.33,"Drama, Romance, School",TV,24,PG-13 - Teens 13 or older,"Bandai Visual, Lantis",J.C.Staff,Novel,24 min. per ep.,24,PG-13,Drama,Lantis,J.C.Staff
.hack//G.U. Returner,6.72,"Magic, Adventure, Fantasy, Game, Sci-Fi, Drama",OVA,1,PG-13 - Teens 13 or older,"Bandai Visual, CyberConnect2",Bee Train,Game,24 min.,24,PG-13,Fantasy,Bandai Visual,Bee Train
Tensai? Dr. Hamax,5.0,Comedy,TV,12,G - All Ages,"Trans Arts, Tohokushinsha Film Corporation",Production I.G,Original,23 min. per ep.,23,G,Comedy,Tohokushinsha Film Corporation,Production I.G
Mokke,7.07,"Slice of Life, Supernatural, Mystery",TV,24,PG - Children,"Kodansha, Nagoya Broadcasting Network","Madhouse, Tezuka Productions",Manga,24 min. per ep.,24,PG-13,Slice of Life,Kodansha,Madhouse
Mirai Keisatsu Urashiman,6.64,"Action, Sci-Fi, Comedy, Police",TV,50,PG-13 - Teens 13 or older,Fuji TV,Tatsunoko Production,Manga,23 min. per ep.,23,PG-13,Comedy,Fuji TV,Tatsunoko Production
Ryokan Shirasagi,6.12,Hentai,OVA,2,Rx - Hentai,Discovery,AT-2,Novel,30 min. per ep.,30,R+,Hentai,Discovery,AT-2
Idol Densetsu Eriko,6.82,Music,TV,51,PG-13 - Teens 13 or older,"Youmex, Big West",Production Reed,Original,22 min. per ep.,22,PG-13,Music,Youmex,Production Reed
Sketchbook: Full Color's,7.39,"Slice of Life, Comedy",TV,13,G - All Ages,"Media Factory, Shochiku, AT-X, TV Tokyo Music, TYO, Mag Garden",Hal Film Maker,Manga,23 min. per ep.,23,G,Comedy,AT-X,Hal Film Maker
Inbaku Gakuen,6.28,"Hentai, School",OVA,3,Rx - Hentai,"NuTech Digital, JapanAnime",Studio Jam,Manga,30 min. per ep.,30,R+,School,NuTech Digital,Studio Jam
Doubutsu no Mori,7.08,"Kids, Slice of Life",Movie,1,G - All Ages,"Studio Jack, Nippon Television Network",OLM,Game,1 hr. 27 min.,87,G,Slice of Life,Nippon Television Network,OLM
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen",Special,1,PG-13 - Teens 13 or older,"Audio Highs, Miracle Robo",Sunrise,Manga,32 min.,32,PG-13,Comedy,Miracle Robo,Sunrise
Hana no Joshi Announcer: Newscaster Etsuko,6.46,Hentai,OVA,2,Rx - Hentai,Discovery,AT-2,Original,26 min. per ep.,26,R+,Hentai,Discovery,AT-2
Digimon Adventure 02 Movies,7.12,"Adventure, Fantasy, Kids, Sci-Fi",Movie,2,PG - Children,Bandai Visual,Toei Animation,Original,32 min. per ep.,32,PG-13,Fantasy,Bandai Visual,Toei Animation
Minami-ke,7.69,"Slice of Life, Comedy, School",TV,13,PG-13 - Teens 13 or older,"Starchild Records, Magic Capsule, Eye Move, Sunny Side Up",Daume,Manga,24 min. per ep.,24,PG-13,Comedy,Starchild Records,Daume
Blue Drop: Tenshi-tachi no Gikyoku,6.73,"Sci-Fi, Drama, Shoujo Ai",TV,13,PG-13 - Teens 13 or older,"BeSTACK, Memory-Tech, Showgate",Gonzo,Manga,26 min. per ep.,26,PG-13,Sci-Fi,Showgate,Gonzo
Suteki Tantei Labyrinth,6.74,"Mystery, Sci-Fi",TV,25,PG-13 - Teens 13 or older,Sotsu,Studio Deen,Manga,23 min. per ep.,23,PG-13,Sci-Fi,Sotsu,Studio Deen
Ookami to Koushinryou,8.27,"Adventure, Fantasy, Historical, Romance",TV,13,PG-13 - Teens 13 or older,"Victor Entertainment, Pony Canyon, Movic, Kadokawa Pictures Japan",Imagin,Novel,24 min. per ep.,24,PG-13,Fantasy,Movic,Imagin
Saishuu Shiken Kujira,5.06,"Comedy, Ecchi, Mystery, School, Supernatural",ONA,12,PG-13 - Teens 13 or older,Starchild Records,Zexcs,Novel,5 min. per ep.,5,PG-13,Comedy,Starchild Records,Zexcs
Appleseed Saga Ex Machina,7.36,"Action, Mecha, Military, Sci-Fi",Movie,1,PG-13 - Teens 13 or older,Sega,Digital Frontier,Manga,1 hr. 44 min.,104,PG-13,Action,Sega,Digital Frontier
Night Wizard,6.69,"Adventure, Fantasy, Magic, Shounen",TV,13,PG-13 - Teens 13 or older,TYO,Hal Film Maker,Game,25 min. per ep.,25,PG-13,Fantasy,TYO,Hal Film Maker
Kindan no Mokushiroku: Crystal Triangle,4.62,"Adventure, Military, Demons, Mystery",OVA,1,PG-13 - Teens 13 or older,"Movic, Sony Music Entertainment, Project Team Eikyuu Kikan",animate Film,Original,1 hr. 26 min.,86,PG-13,Adventure,Movic,animate Film
The Humanoid: Ai no Wakusei Lezeria,4.83,"Space, Mecha, Drama, Sci-Fi",OVA,1,PG-13 - Teens 13 or older,Toshiba EMI,Kaname Productions,Manga,47 min.,47,PG-13,Sci-Fi,Toshiba EMI,Kaname Productions
Shin Getter Robo,7.35,"Action, Adventure, Mecha, Sci-Fi, Demons, Horror, Shounen",OVA,13,R - 17+ (violence & profanity),"Bee Media, Dynamic Planning",Brain's Base,Original,24 min. per ep.,24,R,Action,Dynamic Planning,Brain's Base
Yuuwaku,6.56,"Hentai, School",OVA,2,Rx - Hentai,Discovery,AT-2,Novel,30 min. per ep.,30,R+,School,Discovery,AT-2
Digital Devil Story: Megami Tensei,5.21,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School",OVA,1,R - 17+ (violence & profanity),"Movic, Tokuma Shoten, Tokuma Japan",animate Film,Novel,45 min.,45,R,Fantasy,Movic,animate Film
Majin Tantei Nougami Neuro,7.62,"Mystery, Comedy, Demons, Supernatural, Shounen",TV,25,R - 17+ (violence & profanity),"VAP, Shueisha",Madhouse,Manga,23 min. per ep.,23,R,Comedy,Shueisha,Madhouse
Bamboo Blade,7.34,"Comedy, School, Seinen, Sports",TV,26,PG-13 - Teens 13 or older,"Square Enix, d-rights, Studio Tulip, KlockWorx, flying DOG",AIC ASTA,Manga,24 min. per ep.,24,PG-13,Comedy,KlockWorx,AIC ASTA
Rosario to Vampire,6.84,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen",TV,13,R+ - Mild Nudity,"GDH, Yomiko Advertising, Happinet Pictures, Atelier Musa, Shueisha, Sotsu Music Publishing, Imagine",Gonzo,Manga,25 min. per ep.,25,R+,Comedy,Shueisha,Gonzo
Death Note: Rewrite,7.71,"Mystery, Police, Psychological, Supernatural, Thriller",Special,2,R - 17+ (violence & profanity),Shueisha,Madhouse,Manga,1 hr. 52 min. per ep.,112,R,Supernatural,Shueisha,Madhouse
Hi no Tori: Houou-hen,6.88,"Historical, Drama, Fantasy",Movie,1,R+ - Mild Nudity,"Tezuka Productions, Toho, Tohokushinsha Film Corporation",Madhouse,Manga,1 hr.,1,R+,Fantasy,Toho,Madhouse
Hi no Tori: Uchuu-hen,6.96,"Sci-Fi, Space, Drama, Fantasy",OVA,1,PG-13 - Teens 13 or older,"Kadokawa Shoten, Tezuka Productions, Tohokushinsha Film Corporation",Madhouse,Manga,48 min.,48,PG-13,Fantasy,Kadokawa Shoten,Madhouse
Hi no Tori: Yamato-hen,6.78,"Drama, Historical",OVA,1,PG-13 - Teens 13 or older,"Kadokawa Shoten, Tezuka Productions, Tohokushinsha Film Corporation",Madhouse,Manga,48 min.,48,PG-13,Drama,Kadokawa Shoten,Madhouse
Taiho Shichau zo: Full Throttle,7.22,"Action, Comedy, Police, Shounen",TV,23,PG-13 - Teens 13 or older,TBS,Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,TBS,Studio Deen
Moyashimon,7.59,"Comedy, School, Seinen, Supernatural",TV,11,PG-13 - Teens 13 or older,"Dentsu, Kodansha, Fuji TV, Sony Music Entertainment, Fujipacific Music","Telecom Animation Film, Shirogumi",Manga,23 min. per ep.,23,PG-13,Comedy,Dentsu,Telecom Animation Film
Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen",TV,26,R - 17+ (violence & profanity),"VAP, Nippon Television Network",Madhouse,Manga,23 min. per ep.,23,R,Seinen,VAP,Madhouse
Saint Beast: Ikusen no Hiru to Yoru-hen,6.29,"Magic, Fantasy",OVA,2,PG-13 - Teens 13 or older,"Lantis, Tokyo Kids",Madhouse,Manga,25 min. per ep.,25,PG-13,Fantasy,Lantis,Madhouse
Shadow Skill,6.59,"Adventure, Drama, Fantasy, Shounen",OVA,1,R - 17+ (violence & profanity),Takeshobo,Zero-G Room,Manga,51 min.,51,R,Fantasy,Takeshobo,Zero-G Room
Atashin'chi,7.25,"Comedy, Slice of Life",TV,330,G - All Ages,"TV Asahi, Yumeta Company",Shin-Ei Animation,Manga,25 min. per ep.,25,G,Comedy,TV Asahi,Shin-Ei Animation
Bronze: Kouji Nanjo Cathexis,6.26,"Music, Shounen Ai",OVA,1,PG-13 - Teens 13 or older,"Victor Entertainment, Shueisha",Madhouse,Manga,30 min.,30,PG-13,Music,Shueisha,Madhouse
Kaiketsu Zorro,7.23,"Adventure, Historical, Shounen",TV,52,PG-13 - Teens 13 or older,Toho,Ashi Production,Manga,24 min. per ep.,24,PG-13,Adventure,Toho,Ashi Production
Yotsunoha,6.36,"Romance, School",OVA,2,PG-13 - Teens 13 or older,Rondo Robe,Hal Film Maker,Novel,37 min. per ep.,37,PG-13,Romance,Rondo Robe,Hal Film Maker
Gekitou! Crush Gear Turbo,6.8,"Sports, Shounen",TV,68,G - All Ages,Bandai Visual,Sunrise,Manga,25 min. per ep.,25,G,Shounen,Bandai Visual,Sunrise
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,6.28,"Action, Military, Sci-Fi, Space, Drama",Movie,1,PG-13 - Teens 13 or older,"Kitty Films, Magic Capsule, Tokuma Shoten, Tokuma Japan",Magic Bus,Novel,59 min.,59,PG-13,Action,Magic Capsule,Magic Bus
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.12,"Action, Drama, Military, Sci-Fi, Space",Movie,1,PG-13 - Teens 13 or older,Tokuma Shoten,Magic Bus,Novel,1 hr. 30 min.,90,PG-13,Action,Tokuma Shoten,Magic Bus
Yume Senshi Wingman,6.52,"Action, Comedy, Super Power, Romance, School",TV,47,R+ - Mild Nudity,TV Asahi,Toei Animation,Manga,24 min. per ep.,24,R+,Comedy,TV Asahi,Toei Animation
Ribbon no Kishi,6.63,"Action, Mystery, Romance, Fantasy, Shoujo",TV,52,PG-13 - Teens 13 or older,Fuji TV,Mushi Production,Manga,23 min. per ep.,23,PG-13,Action,Fuji TV,Mushi Production
Compiler,5.19,"Sci-Fi, Comedy, Drama, Romance",OVA,2,R+ - Mild Nudity,animate Film,Studio Fantasia,Manga,30 min. per ep.,30,R+,Comedy,animate Film,Studio Fantasia
Hokuto no Ken: Yuria-den,7.12,"Action, Adventure, Drama, Martial Arts",OVA,1,R - 17+ (violence & profanity),North Stars Pictures,TMS Entertainment,Manga,1 hr. 4 min.,64,R,Action,North Stars Pictures,TMS Entertainment
Kurai Mirai,5.82,Hentai,OVA,2,Rx - Hentai,"Milky Animation Label, JapanAnime",Studio Jam,Novel,30 min. per ep.,30,R+,Hentai,Milky Animation Label,Studio Jam
Chouon Senshi Borgman,6.39,"Action, Sci-Fi, Demons",TV,35,PG-13 - Teens 13 or older,Yomiuri Advertising,"Production Reed, Asahi Production",Manga,24 min. per ep.,24,PG-13,Action,Yomiuri Advertising,Production Reed
Tobe! Isami,7.17,"Action, Adventure, Comedy, Romance, Shounen",TV,50,PG-13 - Teens 13 or older,Hirameki International,Group TAC,Original,25 min. per ep.,25,PG-13,Comedy,Hirameki International,Group TAC
Tetsuwan Atom (1980),7.14,"Action, Sci-Fi, Adventure, Mecha, Shounen",TV,52,G - All Ages,Nippon Television Network,Tezuka Productions,Manga,24 min. per ep.,24,G,Action,Nippon Television Network,Tezuka Productions
In no Houteishiki,6.29,"Hentai, School",OVA,2,Rx - Hentai,Milky Animation Label,Piko Studio,Manga,30 min. per ep.,30,R+,School,Milky Animation Label,Piko Studio
Panchira Teacher,6.38,"Hentai, School",OVA,2,Rx - Hentai,"Green Bunny, Discovery",AT-2,Original,30 min. per ep.,30,R+,School,Discovery,AT-2
Ganbare! Kickers,6.82,"Comedy, Drama, Shounen, Sports",TV,23,G - All Ages,Nippon Television Network,Studio Pierrot,Manga,23 min. per ep.,23,G,Comedy,Nippon Television Network,Studio Pierrot
Ozanari Dungeon: Kaze no Tou,6.26,"Action, Adventure, Fantasy, Comedy",OVA,3,PG-13 - Teens 13 or older,"Tokyo Movie Shinsha, Gakken, Toshiba EMI",Telecom Animation Film,Manga,26 min. per ep.,26,PG-13,Comedy,Tokyo Movie Shinsha,Telecom Animation Film
Robby to Kerobby,5.0,"Kids, Comedy",TV,52,G - All Ages,"Aniplex, Yomiko Advertising",A-1 Pictures,Original,10 min. per ep.,10,G,Comedy,Aniplex,A-1 Pictures
Minerva no Kenshi,6.1,"Fantasy, Hentai",OVA,5,Rx - Hentai,BEAM Entertainment,J.C.Staff,Manga,45 min. per ep.,45,R+,Fantasy,BEAM Entertainment,J.C.Staff
Warau Salesman,6.69,"Comedy, Psychological, Supernatural, Drama, Seinen",TV,103,R+ - Mild Nudity,TBS,Shin-Ei Animation,Manga,10 min. per ep.,10,R+,Comedy,TBS,Shin-Ei Animation
Magical Twilight,5.97,"Hentai, Comedy, Magic, Romance",OVA,3,Rx - Hentai,Pink Pineapple,AIC,Manga,30 min. per ep.,30,R+,Comedy,Pink Pineapple,AIC
Anime Tenchou,6.05,"Action, Parody",OVA,1,G - All Ages,animate Film,Gainax,Manga,2 min.,2,G,Action,animate Film,Gainax
Attacker You!,6.57,"Action, Romance, Shoujo, Sports",TV,58,R+ - Mild Nudity,"TV Tokyo, Knack Productions, Kino Production",Shaft,Manga,23 min. per ep.,23,R+,Action,TV Tokyo,Shaft
Koharu Biyori,6.63,"Sci-Fi, Comedy, Ecchi",OVA,3,R+ - Mild Nudity,"Geneon Universal Entertainment, AT-X, ASCII Media Works, Showgate",Daume,Manga,30 min. per ep.,30,R+,Comedy,AT-X,Daume
Cencoroll,7.21,"Action, Sci-Fi",Movie,1,PG-13 - Teens 13 or older,Aniplex,Think Corporation,Original,26 min.,26,PG-13,Action,Aniplex,Think Corporation
Tokyo Marble Chocolate,7.21,"Slice of Life, Romance",OVA,2,PG-13 - Teens 13 or older,"Frontier Works, BMG Japan",Production I.G,Original,26 min. per ep.,26,PG-13,Romance,Frontier Works,Production I.G
The Sky Crawlers,7.3,"Drama, Military",Movie,1,PG-13 - Teens 13 or older,Hiroshima Television,Production I.G,Novel,2 hr. 2 min.,122,PG-13,Drama,Hiroshima Television,Production I.G
Aa! Megami-sama!: Tatakau Tsubasa,7.6,"Comedy, Magic, Romance, Seinen, Supernatural",Special,2,PG-13 - Teens 13 or older,Imagine,AIC,Manga,24 min. per ep.,24,PG-13,Comedy,Imagine,AIC
xxxHOLiC Kei,8.25,"Mystery, Comedy, Psychological, Supernatural, Drama",TV,13,PG-13 - Teens 13 or older,"Hal Film Maker, TBS",Production I.G,Manga,24 min. per ep.,24,PG-13,Comedy,TBS,Production I.G
Junjou Romantica,7.65,"Comedy, Drama, Romance, Shounen Ai",TV,12,PG-13 - Teens 13 or older,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,Kadokawa Shoten,Studio Deen
Sono Kinisasete yo: My My Mai,5.77,"Ecchi, Comedy, Supernatural",OVA,2,R+ - Mild Nudity,AC Create,J.C.Staff,Manga,39 min. per ep.,39,R+,Comedy,AC Create,J.C.Staff
Shutsugeki! Machine Robo Rescue,6.68,"Action, Mecha, Sci-Fi",TV,53,PG - Children,"TV Tokyo, Bandai Visual, Lantis",Sunrise,Manga,23 min. per ep.,23,PG-13,Action,Lantis,Sunrise
Juusenshi Gulkeeva,6.31,"Action, Fantasy, Mecha, Super Power",TV,26,PG-13 - Teens 13 or older,TV Tokyo Music,Sunrise,Manga,23 min. per ep.,23,PG-13,Action,TV Tokyo Music,Sunrise
F-Zero: Falcon Densetsu,6.42,"Action, Sci-Fi, Adventure, Cars, Sports, Mecha, Shounen",TV,51,PG - Children,Studio Jack,Production Reed,Game,23 min. per ep.,23,PG-13,Action,Studio Jack,Production Reed
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,7.18,Hentai,OVA,2,Rx - Hentai,Pink Pineapple,Flavors Soft,Novel,30 min. per ep.,30,R+,Hentai,Pink Pineapple,Flavors Soft
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,5.93,Hentai,OVA,2,Rx - Hentai,Milky Animation Label,Studio Jam,Novel,30 min. per ep.,30,R+,Hentai,Milky Animation Label,Studio Jam
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.03,"Drama, Historical",TV,52,G - All Ages,TV Tokyo,Nippon Animation,Manga,26 min. per ep.,26,G,Drama,TV Tokyo,Nippon Animation
Chiisana Kyojin Microman,6.27,"Action, Adventure, Comedy, Kids, Mecha, Sci-Fi, Shounen, Super Power",TV,52,G - All Ages,"TV Tokyo, Yomiko Advertising",Studio Pierrot,Manga,25 min. per ep.,25,G,Comedy,TV Tokyo,Studio Pierrot
Toki no Tabibito: Time Stranger,6.07,"Action, Adventure, Romance, Sci-Fi",Movie,1,PG-13 - Teens 13 or older,Kadokawa Shoten,Madhouse,Novel,1 hr. 35 min.,95,PG-13,Action,Kadokawa Shoten,Madhouse
Bobby ni Kubittake,6.03,"Drama, Romance, Slice of Life",Movie,1,PG-13 - Teens 13 or older,Kadokawa Shoten,Madhouse,Novel,44 min.,44,PG-13,Drama,Kadokawa Shoten,Madhouse
Tokimeki Tonight,7.17,"Comedy, Fantasy, Romance, Shoujo, Vampire",TV,34,PG - Children,Toho,Group TAC,Manga,24 min. per ep.,24,PG-13,Comedy,Toho,Group TAC
Kaibutsu-kun,6.51,"Comedy, Horror",TV,49,PG - Children,TBS,"Studio Zero, Tokyo Movie",Manga,25 min. per ep.,25,PG-13,Comedy,TBS,Studio Zero
Ashita Tenki ni Naare,6.13,"Sports, Shounen",TV,47,G - All Ages,"Nihon Ad Systems, Fuji TV",Tsuchida Productions,Manga,22 min. per ep.,22,G,Shounen,Fuji TV,Tsuchida Productions
Dragon's Heaven,6.08,"Action, Adventure, Fantasy, Mecha, Sci-Fi",OVA,1,PG-13 - Teens 13 or older,Toshiba EMI,"AIC, Artmic",Manga,42 min.,42,PG-13,Action,Toshiba EMI,AIC
Tsurikichi Sanpei,7.04,"Adventure, Sports",TV,109,G - All Ages,Studio Jack,Nippon Animation,Manga,24 min. per ep.,24,G,Adventure,Studio Jack,Nippon Animation
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",7.07,"Comedy, Drama",Special,1,PG-13 - Teens 13 or older,"AIC, TV Asahi",Gonzo,Original,43 min.,43,PG-13,Comedy,TV Asahi,Gonzo
