Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Shin Chuuka Ichiban!,6.4,"Comedy, Shounen",TV,12,PG-13 - Teens 13 or older,"Kodansha, DMM pictures, JY Animation, China Film Animation, Beijing IMMG","Production I.G, Nihon Ad Systems",Manga,24 min. per ep.,24,PG-13,Comedy,Kodansha,Production I.G
Beastars,8.05,"Slice of Life, Psychological, Drama, Shounen",TV,12,R - 17+ (violence & profanity),"Movic, Fuji TV, Bandai, Toho, BS Fuji, TOHO animation, Q-Tec, Akita Shoten, Hakuhodo DY Media Partners, Bandai Spirits",Orange,Manga,22 min. per ep.,22,R,Drama,Movic,Orange
Mairimashita! Iruma-kun,7.7,"Comedy, Demons, Supernatural, Fantasy, School, Shounen",TV,23,PG-13 - Teens 13 or older,"NHK, NHK Enterprises",Bandai Namco Pictures,Manga,23 min. per ep.,23,PG-13,Comedy,NHK,Bandai Namco Pictures
Kanata no Astra,8.16,"Sci-Fi, Adventure, Space, Shounen",TV,12,PG-13 - Teens 13 or older,"AT-X, Docomo Anime Store, Shueisha, Kadokawa Media House, Kadokawa",Lerche,Manga,28 min. per ep.,28,PG-13,Sci-Fi,AT-X,Lerche
Katsute Kami Datta Kemono-tachi e,6.41,"Action, Drama, Fantasy, Military, Shounen",TV,12,R - 17+ (violence & profanity),"Kodansha, NBCUniversal Entertainment Japan, Tokyo MX, BS11, JR East Marketing & Communications, Cygames, A-Sketch",MAPPA,Manga,23 min. per ep.,23,R,Action,Kodansha,MAPPA
Bem,6.03,"Action, Demons, Supernatural",TV,12,PG-13 - Teens 13 or older,"TV Tokyo, Nihon Ad Systems, Pony Canyon, KlockWorx, flying DOG","Production I.G, LandQ studios",Original,24 min. per ep.,24,PG-13,Action,TV Tokyo,Production I.G
Qing Chi Hong Xiaodou Ba! 2nd Season,5.0,"Slice of Life, Comedy",ONA,16,G - All Ages,bilibili,Making Animation,Original,3 min. per ep.,3,G,Comedy,bilibili,Making Animation
Kobayashi-san Chi no Maid Dragon S,5.0,"Slice of Life, Comedy, Fantasy",TV,50,PG-13 - Teens 13 or older,"Lantis, Heart Company",Kyoto Animation,Manga,24 min. per ep.,24,PG-13,Comedy,Lantis,Kyoto Animation
Pandora to Akubi,6.15,"Action, Fantasy, Shoujo",Movie,2,G - All Ages,"Tatsunoko Production, XFLAG, Sonilude",Bakken Record,Manga,27 min. per ep.,27,G,Action,Sonilude,Bakken Record
Dragon Quest: Your Story,6.85,"Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy",Movie,1,PG-13 - Teens 13 or older,"Dentsu, Square Enix, Yomiuri Telecasting, Toho, Nippon Television Network, Amuse, Shimogumi, GYAO!, KDDI, Sapporo Television Broadcasting, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Chukyo TV Broadcasting, Hiroshima Television, Fukuoka Broadcasting System, LINE Corporation, Yomiuri Shimbun, Abe Shuuji Jimusho, Culture Entertainment","Shirogumi, Robot Communications",Game,1 hr. 42 min.,102,PG-13,Comedy,Dentsu,Shirogumi
Princess Connect! Re:Dive,7.06,"Action, Adventure, Comedy, Fantasy",TV,13,PG-13 - Teens 13 or older,"WOWOW, Nippon Columbia, Tokyo MX, BS11, Cygames",CygamesPictures,Game,23 min. per ep.,23,PG-13,Comedy,Tokyo MX,CygamesPictures
Shi Huang Zhi Shen,6.17,"Action, Comedy",ONA,13,PG-13 - Teens 13 or older,bilibili,Haoliners Animation League,Web manga,20 min. per ep.,20,PG-13,Comedy,bilibili,Haoliners Animation League
Deep Blue Song,6.2,Music,Music,1,G - All Ages,Sanyo,Revoroot,Manga,7 min.,7,G,Music,Sanyo,Revoroot
Bungaku Shoujo,6.01,Music,Music,1,PG - Children,"Sony Music Communications, Sony Music Entertainment",HOTZIPANG,Manga,4 min.,4,PG-13,Music,Sony Music Entertainment,HOTZIPANG
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",7.04,"Fantasy, Slice of Life",TV,12,PG-13 - Teens 13 or older,"Genco, Asmik Ace, Hobby Japan, ZERO-A, BS11, Muse Communication",Maho Film,Novel,23 min. per ep.,23,PG-13,Fantasy,Genco,Maho Film
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6.6,"Comedy, Ecchi, Harem, Romance, School",TV,12,PG-13 - Teens 13 or older,"Gonzo, AT-X, Bandai Namco Live Creative, GYAO!, Kadokawa, INCS toenter, Bandai Namco Arts","Seven, GEEK TOYS",Novel,23 min. per ep.,23,PG-13,Comedy,AT-X,Seven
Araiya-san!: Ore to Aitsu ga Onnayu de!?,6.44,"Comedy, Ecchi, Romance",TV,8,R+ - Mild Nudity,Picante Circus,Magic Bus,Manga,3 min. per ep.,3,R+,Comedy,Picante Circus,Magic Bus
Radiant 2nd Season,7.63,"Action, Adventure, Magic, Fantasy",TV,21,PG-13 - Teens 13 or older,NHK Enterprises,Lerche,Manga,24 min. per ep.,24,PG-13,Action,NHK Enterprises,Lerche
"Wei, Kanjian Erduo La! 2",7.4,"Slice of Life, Comedy, Shounen Ai",ONA,12,PG-13 - Teens 13 or older,"bilibili, Alchemy Bros.",monofilmo,Web manga,3 min. per ep.,3,PG-13,Comedy,bilibili,monofilmo
Koisuru Asteroid,6.87,"Slice of Life, Comedy, School",TV,12,PG-13 - Teens 13 or older,"AT-X, flying DOG, Houbunsha, Kadokawa Media House, RAY, Kadokawa, GRANTdesign",Doga Kobo,Manga,23 min. per ep.,23,PG-13,Comedy,AT-X,Doga Kobo
